time,disMax,disMin,disAvg,disInter,disStd,speedAvg,vMax,vMaxPos,vMin,vAvg,vInter,vStd,vEqualPer,vPre5,vPre5DivVmax,vPre5DivVmin,vPost10,vPost10DivVmax,vPost10DivVmin,vdMax,vdMin,vdInter,vdAvg,vdStd,vdEqualPer,yMax,yMin,yAvg,yStd,yInter,yTotalDis,yv,yTotalDisAvg,yDisMax,yDisEqualPer,yvAvg,yvStd
1.46,2.0,0.0,1.14,2.0,0.99,0.07,0.29,0.06,0.0,0.12,0.29,0.12,0.25,0.11,0.17,0.11,0.01,0.27,0.01,0.29,0.0,0.29,0.13,0.11,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2.39,15.0,1.0,5.88,14.0,3.92,0.08,0.67,0.43,0.0,0.25,0.67,0.19,0.03,0.33,0.33,0.33,0.0,0.66,0.0,0.39,0.0,0.39,0.14,0.12,0.07,19.0,0.0,10.15,7.45,19.0,19.0,0.01,0.59,2.0,0.53,0.03,0.04
0.84,20.0,0.0,2.33,20.0,3.4,0.17,4.0,0.42,0.0,0.44,4.0,0.64,0.09,0.16,3.84,0.16,0.08,3.92,0.08,3.99,0.0,3.99,0.49,0.82,0.05,0.0,-8.0,-3.49,2.84,8.0,14.0,0.02,0.23,3.0,0.82,0.03,0.08
0.94,17.0,1.0,4.58,16.0,3.84,0.18,1.06,0.14,0.0,0.32,1.06,0.27,0.03,0.32,0.74,0.32,0.01,1.05,0.01,0.57,0.0,0.57,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.0,11.0,0.0,2.09,11.0,2.29,0.02,3.0,0.86,0.0,0.32,3.0,0.5,0.17,0.41,2.59,0.41,0.0,3.0,0.0,3.0,0.0,3.0,0.32,0.65,0.12,0.0,-11.0,-7.52,2.96,11.0,11.0,0.0,0.26,3.0,0.84,0.06,0.21
1.12,6.0,0.0,1.86,6.0,1.13,0.12,1.0,0.85,0.0,0.22,1.0,0.18,0.09,0.3,0.7,0.3,0.03,0.97,0.03,0.92,0.0,0.92,0.13,0.16,0.07,0.0,-6.0,-3.79,2.05,6.0,12.0,0.01,0.17,2.0,0.86,0.02,0.05
3.0,7.0,1.0,2.52,6.0,1.51,0.03,2.0,0.06,0.0,0.31,2.0,0.31,0.0,0.59,1.41,0.59,0.0,2.0,0.0,1.67,0.01,1.66,0.22,0.27,0.06,0.0,-1.0,-0.47,0.5,1.0,2.0,0.0,0.03,1.0,0.97,0.0,0.02
0.81,14.0,1.0,2.95,13.0,3.91,0.21,2.33,0.09,0.01,0.36,2.32,0.54,0.21,0.77,1.56,0.76,0.07,2.26,0.06,0.81,0.0,0.81,0.12,0.2,0.14,0.0,-21.0,-18.0,5.69,21.0,22.0,0.03,0.38,2.0,0.71,0.05,0.08
1.58,5.0,1.0,1.58,4.0,0.96,0.07,0.63,0.1,0.01,0.15,0.62,0.14,0.16,0.35,0.27,0.35,0.02,0.6,0.01,0.5,0.0,0.5,0.11,0.13,0.13,0.0,-6.0,-5.54,1.07,6.0,6.0,0.0,0.08,2.0,0.93,0.01,0.04
3.0,6.0,0.0,1.78,6.0,1.56,0.03,0.86,0.18,0.0,0.17,0.86,0.24,0.06,0.07,0.78,0.07,0.0,0.85,0.0,0.66,0.0,0.66,0.11,0.15,0.14,1.0,-9.0,-1.42,2.44,10.0,11.0,0.0,0.22,1.0,0.78,0.01,0.02
1.82,7.0,0.0,1.59,7.0,1.24,0.04,1.5,0.49,0.0,0.18,1.5,0.24,0.02,0.08,1.42,0.08,0.0,1.5,0.0,1.21,0.0,1.21,0.15,0.2,0.0,14.0,0.0,5.7,4.9,14.0,14.0,0.01,0.29,2.0,0.73,0.03,0.06
