time,disMax,disMin,disAvg,disInter,disStd,speedAvg,vMax,vMaxPos,vMin,vAvg,vInter,vStd,vEqualPer,vPre5,vPre5DivVmax,vPre5DivVmin,vPost10,vPost10DivVmax,vPost10DivVmin,vdMax,vdMin,vdInter,vdAvg,vdStd,vdEqualPer,yMax,yMin,yAvg,yStd,yInter,yTotalDis,yv,yTotalDisAvg,yDisMax,yDisEqualPer,yvAvg,yvStd
3.0,11.0,0.0,2.57,11.0,2.3,0.06,1.6,0.07,0.0,0.29,1.6,0.34,0.04,0.72,0.88,0.72,0.0,1.6,0.0,0.78,0.0,0.78,0.13,0.16,0.09,0.0,-14.0,-7.21,4.06,14.0,14.0,0.0,0.19,1.0,0.81,0.02,0.05
1.93,3.0,0.0,1.06,3.0,0.39,0.04,0.67,0.47,0.0,0.13,0.67,0.13,0.05,0.06,0.61,0.06,0.01,0.66,0.01,0.67,0.0,0.67,0.1,0.13,0.02,6.0,0.0,2.83,2.27,6.0,6.0,0.0,0.09,1.0,0.91,0.02,0.08
2.9,6.0,0.0,1.07,6.0,1.23,0.05,1.5,0.11,0.0,0.15,1.5,0.22,0.33,0.3,1.2,0.3,0.0,1.5,0.0,1.5,0.0,1.5,0.14,0.24,0.29,7.0,0.0,6.34,1.57,7.0,9.0,0.0,0.07,1.0,0.93,0.01,0.05
2.58,20.0,0.0,4.41,20.0,4.96,0.1,1.2,0.08,0.0,0.27,1.2,0.3,0.08,0.81,0.39,0.81,0.01,1.19,0.01,0.48,0.0,0.48,0.11,0.11,0.02,1.0,-2.0,0.52,0.62,3.0,4.0,0.0,0.07,1.0,0.93,0.0,0.02
2.0,27.0,0.0,8.11,27.0,8.47,0.11,1.67,0.25,0.0,0.49,1.67,0.53,0.04,0.15,1.51,0.15,0.0,1.67,0.0,0.71,0.0,0.71,0.19,0.18,0.0,5.0,0.0,3.59,0.85,5.0,7.0,0.0,0.25,3.0,0.86,0.01,0.03
0.89,11.0,1.0,3.93,10.0,2.15,0.2,0.65,0.7,0.06,0.23,0.59,0.13,0.05,0.16,0.48,0.11,0.11,0.54,0.05,0.21,0.0,0.21,0.09,0.05,0.17,10.0,0.0,4.18,4.17,10.0,10.0,0.01,0.23,2.0,0.84,0.01,0.03
3.0,11.0,0.0,2.27,11.0,2.78,0.0,0.09,0.1,0.0,0.01,0.09,0.03,0.04,0.07,0.02,0.07,0.0,0.09,0.0,0.03,0.0,0.03,0.01,0.01,0.02,3.0,-22.0,-8.02,8.16,25.0,28.0,0.0,0.57,2.0,0.47,0.0,0.0
0.94,4.0,0.0,1.58,4.0,1.13,0.06,0.5,0.36,0.0,0.17,0.5,0.16,0.06,0.06,0.44,0.06,0.04,0.46,0.04,0.25,0.0,0.25,0.08,0.07,0.0,0.0,-5.0,-3.47,1.99,5.0,5.0,0.01,0.15,1.0,0.85,0.02,0.05
2.94,8.0,0.0,1.9,8.0,1.53,0.06,0.88,0.05,0.0,0.19,0.88,0.19,0.06,0.38,0.49,0.38,0.01,0.86,0.01,0.51,0.0,0.51,0.12,0.11,0.05,23.0,0.0,12.68,5.76,23.0,23.0,0.01,0.24,2.0,0.77,0.02,0.05
1.21,5.0,1.0,2.04,4.0,1.13,0.09,0.71,0.37,0.01,0.23,0.71,0.17,0.0,0.16,0.55,0.15,0.02,0.7,0.01,0.46,0.01,0.45,0.16,0.12,0.1,4.0,0.0,2.38,1.17,4.0,4.0,0.0,0.08,2.0,0.96,0.01,0.05
